id,source_entity,target_entity,pe_confidence,independent_sources,source_families,raw_signals,syndication_ratio,subject_mentions,object_mentions,desk_geo_hit,desk_entity_hit,age_days,c_multi_source,c_source_diversity,c_salience,c_desk_relevance,qual_score,qualifies,retention,stratum,idx
13073f00-9330-46d9-91b4-4e8a5b10f95e,Board of Peace,Tel Aviv,0.4,1,1,1,1.0,79,77,False,False,0.5,0.0,0.0,0.7008,0.0,0.1402,False,keep,S0_floor,0
1afe8297-3bc1-4758-8472-d968801434fb,Idaho,Tyson,0.4,1,1,1,1.0,45,1,True,False,25.3,0.0,0.0,0.1115,0.6,0.1123,False,keep,S0_floor,1
1c74fc4a-8076-4214-a763-00d6d3512003,East Siberian River Steamship Company,Sibirsk,0.4,1,1,1,1.0,1,1,True,False,32.3,0.0,0.0,0.1115,0.6,0.1123,False,retire,S0_floor,2
2198058e-f002-494c-98e0-423a007dcdaf,IRGC,Revolutionary Guards Corps,0.4,1,1,1,1.0,343,2,True,False,4.2,0.0,0.0,0.1767,0.6,0.1253,False,keep,S0_floor,3
57571172-e2a1-44a0-b7ff-56918ba08f71,Trump,almost four months,0.4,1,1,1,1.0,450,1,False,False,47.5,0.0,0.0,0.1115,0.0,0.0223,False,retire,S0_floor,4
5a4faab0-9a04-45a0-9d1f-b510efdf2a95,804 PM EDT,Mahoning Creek Lake,0.4,1,1,1,1.0,1,2,True,False,0.7,0.0,0.0,0.1115,0.6,0.1123,False,keep,S0_floor,5
8db2c0b0-c123-4884-863f-3f5329832120,Islamabad,the NCCIA Cybercrime Reporting Centre,0.45000002,1,1,2,2.0,207,2,True,False,3.3,0.0,0.0,0.1767,0.6,0.1253,False,keep,S0_floor,6
955a7a52-4b45-49de-9043-1e80a115f263,Central Ben Hill County,Georgia,0.4,1,1,1,1.0,1,89,True,False,1.7,0.0,0.0,0.1115,0.6,0.1123,False,keep,S0_floor,7
95c69d7e-6db4-44b1-9c78-bbda3e51cd79,Alexey Likhachev,Units 7 and,0.4,1,1,1,1.0,34,1,True,False,10.3,0.0,0.0,0.1115,0.6,0.1123,False,keep,S0_floor,8
978270a1-617a-4f37-a7ef-0089e9cf7a82,the Council of the International Maritime Organization,the International Maritime Organization,0.4,1,1,1,1.0,1,25,True,False,22.8,0.0,0.0,0.1115,0.6,0.1123,False,keep,S0_floor,9
a3075251-62f9-4fea-8556-9df780aadf7a,HIMARS,Iranshahr,0.4,1,1,1,1.0,12,7,False,False,17.4,0.0,0.0,0.3345,0.0,0.0669,False,keep,S0_floor,10
ad807d95-3d66-4a70-8dc2-6f470f09b273,Geoffrey Watson SC,Labor,0.4,1,1,1,1.0,2,34,True,False,3.5,0.0,0.0,0.1767,0.6,0.1253,False,keep,S0_floor,11
b8c1f7e1-8518-4b01-9662-c4e16cece137,Bulgaria,Carter,0.4,1,1,1,1.0,48,5,True,False,0.3,0.0,0.0,0.2882,0.6,0.1476,False,keep,S0_floor,12
c063188e-6aa2-453b-887a-dbeee45dcb3d,Moscow,the Moscow Plant,0.4,1,1,1,1.0,1120,1,False,False,46.4,0.0,0.0,0.1115,0.0,0.0223,False,retire,S0_floor,13
e8f50044-b951-4da2-8172-028519e8becc,Dur - Untash,Susa,0.4,1,1,1,1.0,1,1,True,False,23.1,0.0,0.0,0.1115,0.6,0.1123,False,keep,S0_floor,14
0f064be1-5930-48cb-946b-d262ac717b66,Araghchi,the Council of Foreign Ministers,0.4,1,1,1,1.0,151,8,True,False,10.3,0.0,0.0,0.3534,0.6,0.1607,False,keep,S1_low,15
1bc8779c-5c52-4d33-8a54-d60e938dd07a,Caspian,Europe,0.4,1,1,1,1.0,8,1613,False,True,4.1,0.0,0.0,0.3534,1.0,0.2207,False,keep,S1_low,16
26974b1d-0de4-40db-9db9-991901b3e4e2,Israel,the Brandenburg Gate,0.4,1,1,1,1.0,2982,2,True,True,2.1,0.0,0.0,0.1767,1.0,0.1853,False,keep,S1_low,17
2ff318b3-fc62-4266-bb9e-0422add74cc0,Mikhail Fyodorov,Russian Foreign Ministry,0.4,1,1,1,1.0,10,66,True,False,4.5,0.0,0.0,0.3857,0.6,0.1671,False,keep,S1_low,18
33d541f2-e058-4a9f-867b-96b2a636bb47,Claudia Sheinbaum,Mark Carney,0.4,1,1,1,1.0,11,33,True,False,14.5,0.0,0.0,0.3997,0.6,0.1699,False,keep,S1_low,19
3c7de674-5e89-4ddd-9d0b-e1f96f0a2562,Crimea,the Russian Defense Ministry,0.5,1,1,3,3.0,212,195,False,False,10.5,0.0,0.0,0.849,0.0,0.1698,False,keep,S1_low,20
3d961c22-db8d-46bf-a833-6777d351a64a,Israel,"the "" Committee of Political Inquiry",0.4,1,1,1,1.0,2982,1,True,True,26.3,0.0,0.0,0.1115,1.0,0.1723,False,keep,S1_low,21
44d6057e-49aa-4403-a178-1b3807e18dd5,The UK Labour Party,United States,0.4,1,1,1,1.0,1,9204,False,True,41.3,0.0,0.0,0.1115,1.0,0.1723,False,retire,S1_low,22
56631676-6a58-4b83-a873-67567b503d28,Serhii Korovayny,Ukraine,0.45000002,1,1,2,2.0,2,4287,True,True,41.0,0.0,0.0,0.1767,1.0,0.1853,False,retire,S1_low,23
570f7fa2-2821-4327-954a-66eccaa2923c,Argentina,hamm,0.4,1,1,1,1.0,676,1,True,True,2.3,0.0,0.0,0.1115,1.0,0.1723,False,keep,S1_low,24
5fd80e12-1679-4114-a849-192fefb771e7,News Domodedovo,Ukraine,0.4,1,1,1,1.0,1,4287,True,True,0.0,0.0,0.0,0.1115,1.0,0.1723,False,keep,S1_low,25
68e74cdf-c540-4c12-9220-250aa6b86f89,Iraq,Military,0.4,1,1,1,1.0,688,27,True,False,14.8,0.0,0.0,0.536,0.6,0.1972,False,keep,S1_low,26
6aed1020-16b4-43d2-941b-60e842de4147,& quot;America 250,United States,0.4,1,1,1,1.0,1,9204,True,True,30.6,0.0,0.0,0.1115,1.0,0.1723,False,retire,S1_low,27
6da848cd-ca34-47b3-9d98-5e83740b8e62,Glen Canyon,United States,0.4,1,1,1,1.0,12,9204,True,True,25.1,0.0,0.0,0.4126,1.0,0.2325,False,keep,S1_low,28
73bf19ac-c8ec-4f4a-bf59-62597c860a0b,Austro,France,0.4,1,1,1,1.0,1,1932,True,True,1.8,0.0,0.0,0.1115,1.0,0.1723,False,keep,S1_low,29
79514da3-f489-4b93-a6e2-5d7a093b168e,Edi Rama,United States,0.4,1,1,1,1.0,5,9204,False,True,25.9,0.0,0.0,0.2882,1.0,0.2076,False,keep,S1_low,30
7f06a0e1-a5fa-4179-b17a-73e420794135,Gaza,Ishaq Dar,0.4,1,1,1,1.0,955,31,True,False,4.9,0.0,0.0,0.5575,0.6,0.2015,False,keep,S1_low,31
8d2ea73c-d0a5-4a25-8eb5-0fe959585249,Balogun,IOC,0.4,1,1,1,1.0,75,29,True,False,9.8,0.0,0.0,0.5471,0.6,0.1994,False,keep,S1_low,32
934e8fb2-cb69-4743-a2c2-63c7e9bd1f35,LA 2028,United Kingdom,0.4,1,1,1,1.0,1,1339,False,True,25.5,0.0,0.0,0.1115,1.0,0.1723,False,keep,S1_low,33
9c6935ab-1086-418a-88b4-7bceb10ee797,Donald Trump,Nazis,0.4,1,1,1,1.0,1492,18,True,False,23.8,0.0,0.0,0.4736,0.6,0.1847,False,keep,S1_low,34
ce1c1c97-c4a5-468b-8ba4-6353a8f5c50d,A-400,France,0.4,1,1,1,1.0,1,1932,True,True,8.0,0.0,0.0,0.1115,1.0,0.1723,False,keep,S1_low,35
de6dceaa-8ade-4dd1-b6c5-09c135542533,Transportation Department,United States,0.4,1,1,1,1.0,1,9204,True,True,8.9,0.0,0.0,0.1115,1.0,0.1723,False,keep,S1_low,36
ed4e5174-c108-48fc-9633-ee260ff9847e,Indonesia,the European - Mediterranean Seismological Center,0.45000002,1,1,1,1.0,319,0,True,True,48.1,0.0,0.0,0.0,1.0,0.15,False,retire,S1_low,37
f8107e21-5cfa-402c-b13f-b1a221fd16f5,Negeri Sembilan,Pakatan Harapan,0.6,1,1,5,5.0,16,12,True,False,0.5,0.0,0.0,0.4126,0.6,0.1725,False,keep,S1_low,38
ff602817-3ae6-4802-8adc-7c8c4537a8a9,Israel,Maron al -,0.4,1,1,1,1.0,2982,1,False,True,13.2,0.0,0.0,0.1115,1.0,0.1723,False,keep,S1_low,39
01d4fdd2-c9ed-487c-9aaa-e794e6709e55,Czechia,Hornicek,0.45000002,2,2,2,1.0,53,2,False,False,0.3,0.3333,1.0,0.1767,0.0,0.3853,False,keep,S2_mid,40
0a1fd942-6f43-480e-809a-ea8a215c728a,Argentina,Maria Zakharova,0.4,1,1,1,1.0,676,152,True,True,12.8,0.0,0.0,0.8092,1.0,0.3118,False,keep,S2_mid,41
0c797c54-c022-4028-8a09-44e0019242c9,Australia,TASS,0.4,1,1,1,1.0,476,608,False,True,39.4,0.0,0.0,0.9921,1.0,0.3484,False,retire,S2_mid,42
19c8b56c-66cf-49f0-ac64-9a7087592956,UN Women,United Nations,0.45000002,2,2,2,1.0,3,844,False,False,0.8,0.3333,1.0,0.223,0.0,0.3946,False,keep,S2_mid,43
233da665-1ff3-4cc0-a448-bdda5836cf45,Africa,Defense,0.4,1,1,1,1.0,508,187,True,True,6.3,0.0,0.0,0.8423,1.0,0.3185,False,keep,S2_mid,44
2407a6f9-0f23-4ada-bd36-1c9ab4c64e7d,Germany,Jewish,0.4,1,1,1,1.0,913,128,True,True,22.3,0.0,0.0,0.7817,1.0,0.3063,False,keep,S2_mid,45
250360ed-fe42-43c0-83e1-1507dbe45f5c,Europe,Labour,0.4,1,1,1,1.0,1613,115,False,True,41.9,0.0,0.0,0.7647,1.0,0.3029,False,retire,S2_mid,46
2770c173-30d7-41f9-a657-414ebcc708ed,Saudi Arabia,Texas,0.5,1,1,1,1.0,809,200,True,True,37.6,0.0,0.0,0.8531,1.0,0.3206,False,retire,S2_mid,47
36cb497c-7f9a-46dd-bed4-b428065d33c1,Damen,TSSM,0.45000002,2,2,2,1.0,4,2,False,False,4.4,0.3333,1.0,0.1767,0.0,0.3853,False,keep,S2_mid,48
49a7f9bb-619b-4445-9c08-7336c4b82344,Africa,Texas,0.4,1,1,1,1.0,508,200,False,True,12.1,0.0,0.0,0.8531,1.0,0.3206,False,keep,S2_mid,49
4acd1f58-8c85-4fea-ae89-f220e51192f4,Karolina Muchova,Noskova,0.45000002,2,2,2,1.0,3,12,False,False,22.9,0.3333,1.0,0.223,0.0,0.3946,False,keep,S2_mid,50
4b475bd5-2232-4478-a998-3b9f909cd355,Israel,Navy,0.4,1,1,1,1.0,2982,158,True,True,1.9,0.0,0.0,0.8154,1.0,0.3131,False,keep,S2_mid,51
6a8d0ba3-4a90-413b-9314-7aa4ff789e56,Fields Medal,The International Mathematical Union,0.45000002,2,2,2,1.0,6,3,False,False,10.7,0.3333,1.0,0.223,0.0,0.3946,False,keep,S2_mid,52
70cbfd97-4780-4349-862c-7a059f36636b,Jorge Rodriguez,the Bolivarian Republic,0.45000002,2,2,2,1.0,26,4,False,False,22.8,0.3333,1.0,0.2589,0.0,0.4018,False,keep,S2_mid,53
849551b0-6896-40e4-bcbd-beb44f5422b1,Germany,Yemen,0.4,1,1,1,1.0,913,373,True,True,1.0,0.0,0.0,0.953,1.0,0.3406,False,keep,S2_mid,54
8639ba4e-36be-41b0-98ea-cb64845f1cc3,Austria,Pakistan,0.4,1,1,1,1.0,109,750,False,True,2.4,0.0,0.0,0.7561,1.0,0.3012,False,keep,S2_mid,55
89303f7d-566b-411e-b126-0998601b8cbb,Jarell Quansah,Reece James,0.45000002,2,2,2,1.0,3,4,False,False,36.8,0.3333,1.0,0.223,0.0,0.3946,False,retire,S2_mid,56
8b8a3ed2-6107-4332-a96b-609a7d030784,Japan,Mexico,0.4,1,1,1,1.0,708,378,False,True,43.4,0.0,0.0,0.9551,1.0,0.341,False,retire,S2_mid,57
93c4719f-9311-4170-bb60-c09a39bbc2cf,Kolvet,TPUSA,0.5,2,2,3,1.5,3,5,False,False,11.6,0.3333,1.0,0.223,0.0,0.3946,False,keep,S2_mid,58
